"","Country","City","CPI with 5 Dimensions","CPI with 4 Dimensions","Productivity Index","Quality of Life Index","Infrustructure Index","Environment Index","Equity Index"
"18","Finland","Helsinki","0.92428953064438324","0.93306637853471575","0.88980063467527903","0.90481624867610866","0.99749056993367968","0.94381801299907153","0.89"
"19","France","Paris","0.89721505123601397","0.9267086472709698","0.89467899449796107","0.92476975581825061","0.99623821735382756","0.89476462395543177","0.78833333333333333"
"20","Ghana","Accra","0.5600185982009791","0.5761168289735128","0.34687976220560701","0.59195778635515905","0.73738419056387594","0.72757660167130922","0.50000000000000011"
"21","Greece","Athens","0.86171834127654479","0.88872098187967685","0.8003219661424219","0.88463675177708601","0.99623821735382756","0.88444090728213287","0.76166666666666671"
"22","Guatemala","Guatemala City","0.61442093594656833","0.64636628563963394","0.4402251902989201","0.5564449867664053","0.82317401534906509","0.86561745589600747","0.50166666666666671"
"23","Guinea","Conakry","0.44946251374717122","0.41613873438449717","0.1326678178246348","0.46058686224329187","0.60698218685145877","0.80853623955431753","0.6116666666666668"
"24","Honduras","Tegucigalapa","0.65249967113633334","0.69395742583035358","0.54147793626762275","0.7285064118365433","0.7092976350913599","0.82887426183844015","0.51000000000000012"
"25","Hungary","Budapest","0.88145089644790076","0.89390829278629469","0.80821236114241168","0.86703165700360363","0.98987110852003246","0.92051903435468896","0.83333333333333337"
"26","India","Mumbai","0.69368271918207947","0.68845345546604875","0.64542226620706722","0.7390321875874476","0.74483423468693133","0.63231197771587744","0.71500000000000008"
"27","India","New Delhi","0.63497301810728712","0.61712754731068875","0.59646200804830873","0.69019115993434466","0.78562650181978022","0.44846796657381616","0.71166666666666667"
"28","Indonesia","Jakarta","0.76939371057237216","0.74293355188551591","0.63629315009681287","0.73335045645345565","0.74068601821683377","0.88144846796657383","0.88500000000000001"
"29","Ireland","Dublin","0.91272443047769325","0.92911583665532838","0.90124713119810673","0.8665724577985835","0.99623821735382756","0.95778377437325901","0.85000000000000009"
"30","Italy","Milan","0.86992255089075976","0.90787358422062114","0.8682554739526076","0.89529668989874323","0.99749056993367968","0.87614948932219128","0.73333333333333339"
"31","Japan","Tokyo","0.90490842703811702","0.92513371032468095","0.84961950666997732","0.9311060124796019","0.98934916148402585","0.93593314763231195","0.82833333333333337"
"32","Jordan","Amman","0.77148620698441162","0.79621981107268636","0.69700000000000006","0.78963322579286066","0.88654910074501725","0.8237035376044568","0.68"
"33","Kazakhstan","Almaty","0.8303602656533573","0.83339451636821804","0.75050307382037651","0.82175573425294246","0.87194251311146398","0.89705584958217266","0.81833333333333336"
